Stkcd,ShortName,Accper,Typrep,C001014000,Year
000623,吉林敖东,2024-12-31,A,1333220051.93,2024
000625,长安汽车,2019-12-31,A,55704810280.08,2019
000625,长安汽车,2020-12-31,A,63468931047.14,2020
000625,长安汽车,2021-12-31,A,90214683838.52,2021
000625,长安汽车,2022-12-31,A,97369979246.46,2022
000625,长安汽车,2023-12-31,A,120590933831.95,2023
000625,长安汽车,2024-12-31,A,144122642090.77,2024
000629,攀钢钒钛,2019-12-31,A,4762840257.69,2019
000629,攀钢钒钛,2020-12-31,A,6521093722.39,2020
000629,攀钢钒钛,2021-12-31,A,8016695243.64,2021
000629,钒钛股份,2022-12-31,A,6968752275.36,2022
000629,钒钛股份,2023-12-31,A,8368850260.55,2023
000629,钒钛股份,2024-12-31,A,9060640738.74,2024
000630,铜陵有色,2019-12-31,A,96941949968.83,2019
000630,铜陵有色,2020-12-31,A,105761680904.98,2020
000630,铜陵有色,2021-12-31,A,138089028123.28,2021
000630,铜陵有色,2022-12-31,A,123535569504.01,2022
000630,铜陵有色,2023-12-31,A,138407636356.93,2023
000630,铜陵有色,2024-12-31,A,148838927472.1,2024
000633,合金投资,2019-12-31,A,122002601.18,2019
000633,合金投资,2020-12-31,A,94656701.41,2020
000633,合金投资,2021-12-31,A,89824836.32,2021
000633,合金投资,2022-12-31,A,148860358.97,2022
000633,合金投资,2023-12-31,A,186042366.15,2023
000633,合金投资,2024-12-31,A,175827719.77,2024
000635,英力特,2019-12-31,A,238085653.55,2019
000635,英力特,2020-12-31,A,350042787.36,2020
000635,英力特,2021-12-31,A,603680848.13,2021
000635,英力特,2022-12-31,A,826224851.03,2022
000635,英力特,2023-12-31,A,673839807.15,2023
000635,英力特,2024-12-31,A,962656037.17,2024
000636,风华高科,2019-12-31,A,1220819346.01,2019
000636,风华高科,2020-12-31,A,1643943006.24,2020
000636,风华高科,2021-12-31,A,1986596622.62,2021
000636,风华高科,2022-12-31,A,1567492721.91,2022
000636,风华高科,2023-12-31,A,2565627118.11,2023
000636,风华高科,2024-12-31,A,2702383436.96,2024
000637,茂化实华,2019-12-31,A,4620959758.46,2019
000637,茂化实华,2020-12-31,A,4301721117.93,2020
000637,茂化实华,2021-12-31,A,6021869823.43,2021
000637,茂化实华,2022-12-31,A,5857739379.59,2022
000637,茂化实华,2024-12-31,A,3769795457.58,2024
000639,西王食品,2019-12-31,A,5056497528.86,2019
000639,西王食品,2020-12-31,A,5224453068.77,2020
000639,西王食品,2021-12-31,A,5878570858.33,2021
000639,西王食品,2022-12-31,A,5501179113.83,2022
000639,西王食品,2023-12-31,A,5022178831.38,2023
000639,西王食品,2024-12-31,A,4500327401.73,2024
000650,仁和药业,2019-12-31,A,2650635496.99,2019
000650,仁和药业,2020-12-31,A,2299330880.98,2020
000650,仁和药业,2021-12-31,A,3177258130.49,2021
000650,仁和药业,2022-12-31,A,3214337769.96,2022
000650,仁和药业,2023-12-31,A,3386673994.46,2023
